network,avg_price,min_price,max_price,stores
PENNY,3.05,3.05,3.05,2
KAUFLAND,3.45,3.45,3.45,1
PROFI,4.09,4.09,4.09,7

network,price_date,avg_price
KAUFLAND,17.04.2026 04:00,3.45
PENNY,17.04.2026 04:00,3.05
PROFI,17.04.2026 04:00,4.09
