network,avg_price,min_price,max_price,stores
KAUFLAND,5.29,5.29,5.29,1
PROFI,5.39,5.39,5.39,3
SUPECO,5.59,5.59,5.59,1

network,price_date,avg_price
KAUFLAND,16.04.2026 04:00,5.29
PROFI,16.04.2026 04:00,5.39
SUPECO,16.04.2026 04:00,5.59
