network,avg_price,min_price,max_price,stores
MEGA IMAGE SRL,1.65,1.59,1.69,10
PENNY,1.89,1.89,1.89,3
SUPECO,2.19,2.19,2.19,1
PROFI,2.45,2.45,2.45,1

network,price_date,avg_price
MEGA IMAGE SRL,17.04.2026 04:00,1.65
PENNY,17.04.2026 04:00,1.89
PROFI,17.04.2026 04:00,2.45
SUPECO,17.04.2026 04:00,2.19
