id,product,category
1013820,Adazia Esenta Lamaie 25ml,ALIMENTE DE BAZA
1027371,Adazia Esenta Rom 25ml,ALIMENTE DE BAZA
1186387,Agapy Boabe De Hrisca 250g,ALIMENTE DE BAZA
1085626,Agrana Margaritar Stick Candel Brun 60gr,ALIMENTE DE BAZA
1070656,Al Dente Spaghetti 400g,ALIMENTE DE BAZA
1039483,Al Fez Marocan Couscous 200g,ALIMENTE DE BAZA
1040697,Alge De Mare Pt Sushi 11g Blue,ALIMENTE DE BAZA
1022534,Alpin Coji Minieclere 200g,ALIMENTE DE BAZA
1107095,"Amestec Auchan Pentru Paine Fara Gluten, 1kg",ALIMENTE DE BAZA
1075593,"Amestec Pentru Falafel, 175 G",ALIMENTE DE BAZA
1019045,Amestec Pentru Paine Alba Dobrogea Experta 500,ALIMENTE DE BAZA
1054038,Amestec Pentru Paine Rustica Dobrogea Experta 500 G,ALIMENTE DE BAZA
1034127,Amidon Alimentar 200g Gustin,ALIMENTE DE BAZA
1051926,An.Di Vaio Farfal500,ALIMENTE DE BAZA
1362393,Antico Frantoio Ulei De Masline Extravirgin 0.5l,ALIMENTE DE BAZA
1395467,Antico Frantoio Ulei De Masline Extravirgin 0.5l,ALIMENTE DE BAZA
1027256,Antonio Di Vaio Farfaline Grau Dur 500g,ALIMENTE DE BAZA
1053062,Antonio Di Vaio Farfalle Din Grau Dur 500g,ALIMENTE DE BAZA
1014908,Antonio Di Vaio Fusilli Din Grau Dur 500g,ALIMENTE DE BAZA
1074553,Antonio Di Vaio Fusilli Tricolore 500g,ALIMENTE DE BAZA
1039111,Antonio Di Vaio Paste Penne 3 Min 500g,ALIMENTE DE BAZA
1019229,Antonio Di Vaio Paste Penne Rigate 500g,ALIMENTE DE BAZA
1020421,Antonio Di Vaio Paste Spaghete 500g,ALIMENTE DE BAZA
1095216,Antonio Di Vaio Tagliate Gr Dur400g,ALIMENTE DE BAZA
1378458,Apicola Costache Miere Salcam Ursulet 250g,ALIMENTE DE BAZA
1059096,Apisrom Miere Crema 400g,ALIMENTE DE BAZA
1060720,Apisrom Miere De Salcam Borcan 400g,ALIMENTE DE BAZA
