network,product_id,product,stores,min_price,avg_price,max_price,spread_pct
CARREFOUR,1013940,"L-Carnitin Instant, Plic 15 G",55,7.5,7.54,8.19,9.2
PROFI,1010776,Bomb Halls Miere&Lamaie 33.5g,118,4.99,5.11,5.45,9.2
PROFI,1011288,Salrom Sare Iodata Recristalizata 1kg,141,4.99,5.19,5.45,9.2
PROFI,1014319,Drajeuri Mix Fructe 18gtic Tac,135,4.99,5.13,5.45,9.2
PROFI,1023304,Draj Cu Gust Menta 18g Tic Tac,141,4.99,5.13,5.45,9.2
AUCHAN,1016548,Hellmann'S Sos Original Burger 250ml,3,10.99,11.32,11.99,9.1
AUCHAN,1019318,Absolut Blue 1.75l,17,121.0,127.24,132.0,9.1
MEGA IMAGE SRL,1018430,Condiment Bors 70g Maggi,129,4.39,4.41,4.79,9.1
SELGROS,1016588,Tassimo Cappuccino Capsule 260g,5,41.75,43.25,45.51,9.0
AUCHAN,1014919,"Gin Beefeater Pink, 37.5% 0.7l + 1 Pahar",15,71.95,74.13,78.3,8.8
KAUFLAND,1014705,Panzani Malai Pt Mamaliga Rapid 500g,25,5.69,5.89,6.19,8.8
AUCHAN,1035728,Cpt Morgan Black Spiced 0.7l,17,77.9,83.18,84.7,8.7
CARREFOUR,1010585,Amigo Cafea Solubila 200g,52,42.75,44.79,46.49,8.7
MEGA IMAGE SRL,1011077,M&M Ciocolata Drajeuri Cu Arahide 250g,128,18.29,18.35,19.89,8.7
PROFI,1012834,Dr Oetker Zahar Pudra Aroma Van80g,142,2.99,3.03,3.25,8.7
AUCHAN,1028164,"Aperitiv Garrone Cherry, 0.75 L",5,26.9,28.74,29.2,8.6
PROFI,1022679,Dr.Oetker Bourbon Zahar Vanilat 8g,142,3.49,3.53,3.79,8.6
SELGROS,1016548,Hellmann'S Sos Original Burger 250ml,5,12.01,12.42,13.04,8.6
MEGA IMAGE SRL,1010288,"Chipsuri Lay'S Cu Gust De Cascaval, 60 G",106,5.89,5.9,6.39,8.5
PROFI,1010457,Fursecuri Fara Zahar Gullon Cu Ciocolata 125 G,73,17.75,18.12,19.25,8.5
AUCHAN,1016588,Tassimo Cappuccino Capsule 260g,13,38.49,40.51,41.71,8.4
MEGA IMAGE SRL,1010945,Dr Oetker Crema Praj Gust C&T&R 57g,111,5.99,5.99,6.49,8.3
AUCHAN,1010935,Kuznetzoff Vodka 0.5l 40%,17,21.9,23.59,23.7,8.2
MEGA IMAGE SRL,1010430,Cafea Mac Classique R&G250glor,129,43.19,43.35,46.69,8.1
MEGA IMAGE SRL,1010554,Cub Aliment Gust Gaina 60g Mag,129,3.69,3.7,3.99,8.1
PROFI,1016507,Tassimo Morning Cafe 124.8g,142,36.99,39.0,39.99,8.1
MEGA IMAGE SRL,1010568,"Cafea Capsule Nescafe Dolce Gusto Ristretto Napoli Style, 16 Capsule, 128g",86,32.59,32.62,35.19,8.0
PROFI,1015660,Dr.Oetker Original Pudding Praf Budinca Gust Vanilie 40g,142,2.49,2.52,2.69,8.0
AUCHAN,1101884,Aperitiv Bardinet Cu Portocala 0.7 L,4,48.0,48.95,51.8,7.9
AUCHAN,1080657,Gin Tanqueray 43.1% 0.7l,17,90.9,93.79,97.9,7.7
PROFI,1010945,Dr Oetker Crema Praj Gust C&T&R 57g,108,6.49,6.97,6.99,7.7
AUCHAN,1075626,J&B Rare & Cola 0.25l 6.4%,17,8.6,8.92,9.25,7.6
MEGA IMAGE SRL,1013048,Jacobs Kronung Cafea Macinata 250g,129,32.69,33.92,35.19,7.6
MEGA IMAGE SRL,1013446,Chips Cu Gust Ardei 165gpring,129,11.89,11.97,12.79,7.6
MEGA IMAGE SRL,1016548,Hellmann'S Sos Original Burger 250ml,129,15.79,15.91,16.99,7.6
AUCHAN,1034076,Vodka Premium Tazovsky 0.2 L,17,13.5,14.44,14.5,7.4
AUCHAN,1028539,Beefeater Bl.Oran.0.7l,17,61.6,65.61,66.1,7.3
AUCHAN,1041783,Vodka 40% Stumbras Gutuie 0.5l,15,36.8,38.78,39.5,7.3
AUCHAN,1076905,Vodca Scandic 0.5 L,16,23.2,24.79,24.9,7.3
MEGA IMAGE SRL,1010348,Alba 700g De Vel Pitar,129,6.89,6.91,7.39,7.3
PROFI,1010835,Baton Protein-R 60g,139,4.09,4.14,4.39,7.3
PROFI,1020843,Cioc Cu Lapte Din Stevia 25 G,141,4.09,4.13,4.39,7.3
PROFI,1043261,Jacobs Cafea Boabe Barista Espresso1kg,3,82.29,86.29,88.29,7.3
CARREFOUR,1010932,"Bautura Cafea Arabica Starbucks, Fara Lactoza, 0.22l",37,13.99,14.57,14.99,7.1
MEGA IMAGE SRL,1011149,"Bautura Espresso Machiatto Muller, 0.25l",129,8.49,8.52,9.09,7.1
AUCHAN,1072579,"Whiskey Jameson 0.20 L, 40%",14,25.8,27.47,27.6,7.0
MEGA IMAGE SRL,1019726,Haribo Wummis 100g,129,7.19,7.21,7.69,7.0
AUCHAN,1051410,Cocktail Vodka+Mar4% 0.33l Mix,17,8.65,9.14,9.25,6.9
AUCHAN,1058867,Cocktail Vodka+Pep4% 0.33l Mix,17,8.65,9.14,9.25,6.9
MEGA IMAGE SRL,1014741,Acadea Chupa Chups Melody Pop 15 G,127,2.33,2.34,2.49,6.9
MEGA IMAGE SRL,1018415,La Minut Mustar 300g,129,5.79,5.81,6.19,6.9
AUCHAN,1010522,Amidon Din Cartofi 75g Dr Oetk,3,2.2,2.3,2.35,6.8
AUCHAN,1016998,"Aperitiv Aperol, 0.7l",17,63.7,66.84,68.0,6.8
AUCHAN,1029569,Vodca 1l 40% Finlandia,17,67.95,68.22,72.6,6.8
MEGA IMAGE SRL,1021630,Boromir Foi Cremsnit 380 G,125,13.29,13.3,14.19,6.8
CARREFOUR,1011149,"Bautura Espresso Machiatto Muller, 0.25l",18,7.49,7.66,7.99,6.7
MEGA IMAGE SRL,1011348,Cus Cus 500g Panzani,129,8.89,8.92,9.49,6.7
AUCHAN,1056957,Ballantine'S 7yo 0.7,17,69.4,72.7,73.95,6.6
AUCHAN,1066358,Digestiv Ramazzotti Amaro Lichior 0.7 L,5,52.9,55.7,56.4,6.6
SELGROS,1016154,Maggi Secretul Gustului Legume75g,5,3.65,3.79,3.89,6.6
AUCHAN,1086774,"Rom Captain Morgan Gold, Alc. 35%, 0.2l",16,24.7,25.6,26.3,6.5
PROFI,1011111,Ceai Fares De Musetel 20 G / 20 De Plicuri,138,3.99,4.03,4.25,6.5
AUCHAN,1115441,Tigari Sobranie Redefined White,17,23.5,24.53,25.0,6.4
CARREFOUR,1014022,Brasero Cafea Instant,55,23.49,24.08,24.99,6.4
MEGA IMAGE SRL,1013940,"L-Carnitin Instant, Plic 15 G",129,7.79,7.81,8.29,6.4
PROFI,1011077,M&M Ciocolata Drajeuri Cu Arahide 250g,113,18.79,19.36,19.99,6.4
AUCHAN,1103479,Vodka Kuznetzoff  40% 2l,9,81.6,85.57,86.7,6.3
AUCHAN,1014688,"Aperitiv Florentino Zarea, Ciocolata, 0.5l",5,14.5,14.86,15.4,6.2
AUCHAN,1053634,"Aperitiv Florentino Zarea, Piersici, 0.5l",5,14.5,14.68,15.4,6.2
AUCHAN,1096847,"Aperitiv Florentino Zarea, Fructe De Padure, 0.5l",5,14.5,14.68,15.4,6.2
MEGA IMAGE SRL,1013742,Kfc Sos Cu Usturoi,129,16.49,16.54,17.49,6.1
AUCHAN,1069925,Beefeater Pink 0 70l 37 5% 6k,17,61.6,64.21,65.3,6.0
AUCHAN,1102776,"Dry Gin Wembley London , 0.5l",17,33.5,34.79,35.5,6.0
PROFI,1010288,"Chipsuri Lay'S Cu Gust De Cascaval, 60 G",124,5.65,5.81,5.99,6.0
PROFI,1013123,Nescafe Dg Espresso Inteso 128g,139,33.19,33.49,35.19,6.0
PROFI,1013501,Dolce Gusto Cafe Au Lait  160g,136,33.19,33.5,35.19,6.0
CARREFOUR,1010568,"Cafea Capsule Nescafe Dolce Gusto Ristretto Napoli Style, 16 Capsule, 128g",40,31.19,32.31,32.99,5.8
CARREFOUR,1013123,Nescafe Dg Espresso Inteso 128g,55,31.19,32.43,32.99,5.8
CARREFOUR,1013501,Dolce Gusto Cafe Au Lait  160g,55,31.19,32.43,32.99,5.8
MEGA IMAGE SRL,1013123,Nescafe Dg Espresso Inteso 128g,129,32.99,33.08,34.89,5.8
PROFI,1016588,Tassimo Cappuccino Capsule 260g,141,37.79,39.87,39.99,5.8
AUCHAN,1093819,Blended Scotch Whisky Chivas Regal 700 Ml,17,122.95,125.01,129.95,5.7
AUCHAN,1011062,Barilla Paste Fusilli Nr98 500g,10,5.39,5.52,5.69,5.6
MEGA IMAGE SRL,1013501,Dolce Gusto Cafe Au Lait  160g,129,32.29,32.37,34.09,5.6
CARREFOUR,1010948,Jacobs Kronung Solubila 200g,52,59.25,59.87,62.49,5.5
AUCHAN,1011111,Ceai Fares De Musetel 20 G / 20 De Plicuri,7,3.69,3.8,3.89,5.4
AUCHAN,1106887,Rum Plant.Xaymaca 43%0.7l,7,150.0,155.14,158.0,5.3
AUCHAN,1042779,Brugal Rom Anejo 40% 0.7l,7,77.6,81.03,81.6,5.2
MEGA IMAGE SRL,1010932,"Bautura Cafea Arabica Starbucks, Fara Lactoza, 0.22l",116,13.49,13.5,14.19,5.2
PROFI,1010392,Riso Scotti Orez Basmati 500g,36,11.65,12.17,12.25,5.2
PROFI,1013742,Kfc Sos Cu Usturoi,114,17.29,17.57,18.19,5.2
AUCHAN,1056479,Gin Wembley London Dry Gin 0.7l,17,46.9,47.68,49.3,5.1
MEGA IMAGE SRL,1010585,Amigo Cafea Solubila 200g,129,45.49,47.68,47.79,5.1
