network,product_id,product,stores,min_price,avg_price,max_price,spread_pct
AUCHAN,1129634,Bricheta Atomic Electronic Antivant Cu Siguranta Pentru Copii,17,3.9,5.78,5.9,51.3
AUCHAN,1023527,"Pachet Cadou Whiskey Single Malt Glenfiddich 12 Ani + Pahar, 0.7l",15,229.95,251.56,345.0,50.0
PROFI,1007373,Pulpa Pui Cu Spate La Cuptor /Kg,22,18.6,27.48,27.9,50.0
AUCHAN,1233801,Bricheta Mecanica Atomic Festival Football Idols,17,2.34,2.65,3.5,49.6
AUCHAN,1109315,J&B Rare 0.7l + 2 Pah,17,52.95,65.19,78.95,49.1
AUCHAN,1114565,"Vodka Spirit Blueberry, 0.275 L",6,6.99,9.43,10.4,48.8
CARREFOUR,1016154,Maggi Secretul Gustului Legume75g,55,3.29,4.01,4.89,48.6
CARREFOUR,1012834,Dr Oetker Zahar Pudra Aroma Van80g,55,1.89,2.31,2.79,47.6
AUCHAN,1195034,"Gin Greenalls Original, Alcool 40%, 0.7l",17,47.95,52.69,70.7,47.4
AUCHAN,1025085,"Lichior Zarea Royal Cream Cu Ciocolata, 0.5l",17,20.5,26.76,30.2,47.3
SELGROS,1014705,Panzani Malai Pt Mamaliga Rapid 500g,5,6.99,9.63,10.29,47.2
CARREFOUR,1015660,Dr.Oetker Original Pudding Praf Budinca Gust Vanilie 40g,55,1.49,1.79,2.19,47.0
AUCHAN,1028713,"Pachet Cadou Whisky Johnnie Walker Black Label + 2 Pahare 40% Alcool, 0.7l",17,109.95,133.48,159.95,45.5
CARREFOUR,1010834,Vegeta Baza Mancare Leg.250g,27,8.59,10.29,12.49,45.4
CARREFOUR,1013565,Ketchup Picant 500g Tomi,55,7.19,10.17,10.45,45.3
CARREFOUR,1014629,M&M'S Choco 45gr,55,4.49,5.43,6.49,44.5
CARREFOUR,1016548,Hellmann'S Sos Original Burger 250ml,55,12.49,15.8,17.99,44.0
CORA,1016548,Hellmann'S Sos Original Burger 250ml,4,10.79,14.31,15.49,43.6
KAUFLAND,1016548,Hellmann'S Sos Original Burger 250ml,25,11.49,14.49,16.49,43.5
CARREFOUR,1011077,M&M Ciocolata Drajeuri Cu Arahide 250g,55,14.99,19.5,21.49,43.4
CARREFOUR,1014705,Panzani Malai Pt Mamaliga Rapid 500g,55,5.89,6.45,8.39,42.4
CARREFOUR,1010551,Olympia Sos Sweet Chilli 250ml,44,11.59,12.36,16.49,42.3
CARREFOUR,1017576,"Bomboane M&M' S Cu Arahide, 45g",55,4.49,5.45,6.39,42.3
PROFI,1007182,Pui La Cuptor /Kg,9,18.9,26.01,26.9,42.3
AUCHAN,1013565,Ketchup Picant 500g Tomi,12,6.69,9.05,9.49,41.9
AUCHAN,1010610,Sly Tableta Dietetica De Lapte  25gr,4,1.69,2.21,2.39,41.4
AUCHAN,1019553,Pachet Promo Whiskey Ballantines Cu 2 Pahare Cadou,17,54.95,60.99,75.5,37.4
CARREFOUR,1010454,Alpro Bautura Din Soia Neindulcita 1l,45,12.39,13.5,16.99,37.1
PROFI,1011353,Cafea Boabe Crema E Aroma,112,115.99,150.09,158.99,37.1
CARREFOUR,1024060,Dr Oetker Esenta De Rom 38 Ml,55,5.19,6.25,7.09,36.6
CARREFOUR,1010610,Sly Tableta Dietetica De Lapte  25gr,55,2.19,2.56,2.99,36.5
CARREFOUR,1015719,Barilla Spaghete No.5,55,4.99,5.3,6.79,36.1
AUCHAN,1195038,"Gin Pink Cherry Jj Whitley, Alcool 40%, 0.7l",17,55.95,60.41,75.9,35.7
CARREFOUR,1019726,Haribo Wummis 100g,46,7.09,7.81,9.59,35.3
AUCHAN,1014629,M&M'S Choco 45gr,10,3.59,4.43,4.85,35.1
AUCHAN,1017576,"Bomboane M&M' S Cu Arahide, 45g",10,3.59,4.47,4.85,35.1
PROFI,1007283,Pulpa De Pui Cu Spate Condim La Cuptor/Kg,6,29.9,38.65,40.4,35.1
CARREFOUR,1034389,Set 2 Toiuri Afinata Si Visinata Bran 2 X 0.45 L,19,44.19,46.0,59.49,34.6
CARREFOUR,1021630,Boromir Foi Cremsnit 380 G,55,13.39,14.75,17.99,34.4
AUCHAN,1055113,Scotch Whisky Glengoyne 0.7 L,9,150.0,195.33,201.0,34.0
CARREFOUR,1010376,Spornic Bun La Toate Ulei 1l,44,6.99,7.04,9.35,33.8
CARREFOUR,1014741,Acadea Chupa Chups Melody Pop 15 G,54,2.09,2.34,2.79,33.5
AUCHAN,1014076,La Minut Mustar Dulce 290g,7,4.19,5.39,5.59,33.4
AUCHAN,1018415,La Minut Mustar 300g,8,4.19,5.24,5.59,33.4
AUCHAN,1044655,Johnnie Walker Red+2 Pah,17,63.7,66.2,84.95,33.4
CARREFOUR,1010453,Belin Ceai Verde 20x2g,50,4.19,5.04,5.59,33.4
PROFI,1011315,Capsule Amhsbld 102g Starbucks,21,26.39,32.96,34.99,32.6
AUCHAN,1023099,J&B Rare 0.7l 40% Naked,17,39.95,41.68,52.95,32.5
CARREFOUR,1010348,Alba 700g De Vel Pitar,35,6.79,7.51,8.99,32.4
CARREFOUR,1010701,Set 2toi(Palinca+Rachiu)2x45m,15,44.19,46.42,58.49,32.4
CARREFOUR,1010945,Dr Oetker Crema Praj Gust C&T&R 57g,51,5.19,6.11,6.86,32.2
CARREFOUR,1010288,"Chipsuri Lay'S Cu Gust De Cascaval, 60 G",49,5.45,5.82,7.19,31.9
PROFI,1000381,Ceafa De Porc La Gratar /Kg,14,37.99,47.13,49.9,31.4
CARREFOUR,1010392,Riso Scotti Orez Basmati 500g,31,11.49,12.12,14.99,30.5
CARREFOUR,1014152,Cafea Boabe  Beans 500gjacobs,51,55.99,59.56,72.99,30.4
CARREFOUR,1018323,Jacobs Cafea Boabe Barista Crema 1kg,44,119.19,124.86,154.9,30.0
CARREFOUR,1043261,Jacobs Cafea Boabe Barista Espresso1kg,42,119.19,124.91,154.9,30.0
AUCHAN,1109673,"Pachet Cadou Rom Captain Morgan, Original Spiced Gold + Pahar 0.7l",16,69.9,75.11,90.8,29.9
AUCHAN,1013501,Dolce Gusto Cafe Au Lait  160g,3,24.99,28.99,32.39,29.6
PROFI,1013048,Jacobs Kronung Cafea Macinata 250g,128,26.99,34.43,34.99,29.6
CARREFOUR,1011126,R&B Paine Alba Tava Fl 400g,44,32.09,32.7,41.49,29.3
CARREFOUR,1011062,Barilla Paste Fusilli Nr98 500g,55,5.49,5.87,7.09,29.1
PROFI,998655,Aripi La Cuptor /Kg,8,30.9,36.52,39.9,29.1
CARREFOUR,1013446,Chips Cu Gust Ardei 165gpring,55,9.99,12.29,12.89,29.0
PROFI,1010834,Vegeta Baza Mancare Leg.250g,128,8.99,10.94,11.55,28.5
PROFI,1014022,Brasero Cafea Instant,142,18.99,20.8,24.39,28.4
PROFI,1021630,Boromir Foi Cremsnit 380 G,121,13.49,16.14,17.29,28.2
AUCHAN,1011481,Discovery Vodka 40% 0.5l L,17,20.9,24.78,26.6,27.3
AUCHAN,1011126,R&B Paine Alba Tava Fl 400g,4,24.99,26.69,31.79,27.2
