product_id,name,category,store_count,record_count,blended_rank
1025085,"Lichior Zarea Royal Cream Cu Ciocolata, 0.5l",BAUTURI ALCOOLICE,17,103,107.5
1025663,Garrone Orangello 0.7l 30% Vol,BAUTURI ALCOOLICE,17,103,107.5
1026125,Tigari Heets Silver,BAUTURI ALCOOLICE,17,103,107.5
1026177,Captain Morgan Tiki 0.7l,BAUTURI ALCOOLICE,17,103,107.5
1026645,Martini Bianco Vermut 15% 0.75l,BAUTURI ALCOOLICE,17,103,107.5
1026963,Cf Plantation Rum Dark 40% 0.7,BAUTURI ALCOOLICE,17,103,107.5
1027539,Tigari Pall Mall (Blue),BAUTURI ALCOOLICE,17,103,107.5
1027799,Dry Gin 0.7l 37.5% Gordon'S,BAUTURI ALCOOLICE,17,103,107.5
1028270,Tigari Kent Core (Black 94s),BAUTURI ALCOOLICE,17,103,107.5
1028539,Beefeater Bl.Oran.0.7l,BAUTURI ALCOOLICE,17,103,107.5
1028710,Tigari Sobranie Redefined Black,BAUTURI ALCOOLICE,17,103,107.5
1028713,"Pachet Cadou Whisky Johnnie Walker Black Label + 2 Pahare 40% Alcool, 0.7l",BAUTURI ALCOOLICE,17,103,107.5
1029474,Tigari Marlboro Gold Original 100'S,BAUTURI ALCOOLICE,17,103,107.5
1029569,Vodca 1l 40% Finlandia,BAUTURI ALCOOLICE,17,103,107.5
1029891,Tigari Heets Kelly Label,BAUTURI ALCOOLICE,17,103,107.5
1029950,Tigari Marlboro Touch 4,BAUTURI ALCOOLICE,17,103,107.5
1030556,Garrone Cherry Aperitiv 16% 0.5l,BAUTURI ALCOOLICE,17,103,107.5
1030746,Tigari Kent Core (Silver),BAUTURI ALCOOLICE,17,103,107.5
1032029,Tigari Dunhill Evoque Riviera Beige 100s,BAUTURI ALCOOLICE,17,103,107.5
1032929,"Cocktail Mionetto Il Ugo Alb, 0.75l",BAUTURI ALCOOLICE,17,103,107.5
1033025,Pachet Rezerve Heets Turcoise Pentru Sistemul Iqos,BAUTURI ALCOOLICE,17,103,107.5
1033282,Whiskey Single Malt Glenfiddich 12 Ani 0.7l,BAUTURI ALCOOLICE,17,103,107.5
1033346,Bacardi Breezer Cu Lime 0.275 L,BAUTURI ALCOOLICE,17,103,107.5
1033361,"Whisky Johnnie Walker Red Label, 40% Alcool, 0.7l",BAUTURI ALCOOLICE,17,103,107.5
1033939,Rum Alb La Mariba 0.7 L,BAUTURI ALCOOLICE,17,103,107.5
1034076,Vodka Premium Tazovsky 0.2 L,BAUTURI ALCOOLICE,17,103,107.5
1034256,"Vodca Absolut 40% Alc, 0.7 L",BAUTURI ALCOOLICE,17,103,107.5
1034293,Tigari Heets Blue,BAUTURI ALCOOLICE,17,103,107.5
1034697,Vodca Wyborowa 1 L,BAUTURI ALCOOLICE,17,103,107.5
1035204,Bautura Aperitiv Campari 1 L,BAUTURI ALCOOLICE,17,103,107.5
1035696,Bacardi Breezer Cu Aroma De Portocala 0.275 L,BAUTURI ALCOOLICE,17,103,107.5
1035728,Cpt Morgan Black Spiced 0.7l,BAUTURI ALCOOLICE,17,103,107.5
1035892,Aperol 1l.,BAUTURI ALCOOLICE,17,103,107.5
1036065,Tigari Vogue La Cigarette Bleue,BAUTURI ALCOOLICE,17,103,107.5
1036327,Tigari Sobranie Super S Black,BAUTURI ALCOOLICE,17,103,107.5
1036504,Tigari Viceroy Red 100s,BAUTURI ALCOOLICE,17,103,107.5
1037164,Smirnoff Ice 0.275 L 4%,BAUTURI ALCOOLICE,17,103,107.5
1037488,Carolans 0.7l 17%,BAUTURI ALCOOLICE,17,103,107.5
1037626,Tigari Neo Purple Tropic Mix,BAUTURI ALCOOLICE,17,103,107.5
1037765,Bautura Alcoolica Jagermeister 0.7 L,BAUTURI ALCOOLICE,17,103,107.5
1038376,Bricheta Bic J26,BAUTURI ALCOOLICE,17,103,107.5
1038431,"Scotch Whisky Ballantine'S Finest, 0.7l",BAUTURI ALCOOLICE,17,103,107.5
1038469,Tigari Sobranie Redefined Red,BAUTURI ALCOOLICE,17,103,107.5
