product_id,product,min_net_price,max_net_price,networks,spread,ratio
1011353,Cafea Boabe Crema E Aroma,99.9,150.04415617128464,5,50.14,1.502
1014741,Acadea Chupa Chups Melody Pop 15 G,1.69,2.5059829059829064,7,0.82,1.483
1014705,Panzani Malai Pt Mamaliga Rapid 500g,5.49,8.051538461538462,7,2.56,1.467
1010453,Belin Ceai Verde 20x2g,3.59,5.246428571428571,4,1.66,1.461
1010545,Hellmanns Original Sos Maioneza 625ml,19.456666666666663,28.322673267326735,4,8.87,1.456
1024060,Dr Oetker Esenta De Rom 38 Ml,4.89,6.99,7,2.1,1.429
1010945,Dr Oetker Crema Praj Gust C&T&R 57g,4.89,6.973638743455498,6,2.08,1.426
1011111,Ceai Fares De Musetel 20 G / 20 De Plicuri,2.89,4.10555,5,1.22,1.421
1010776,Bomb Halls Miere&Lamaie 33.5g,3.79,5.363989898989899,6,1.57,1.415
1011709,Bunica Ulei Floarea Soarelui 1l,8.79,12.079285714285716,7,3.29,1.374
1015719,Barilla Spaghete No.5,4.45,6.090000000000001,7,1.64,1.369
1014152,Cafea Boabe  Beans 500gjacobs,46.99,63.99,7,17.0,1.362
1043842,Tigari Pall Mall Extra Cut Balance (Blue),7.49,10.161428571428571,6,2.67,1.357
1010701,Set 2toi(Palinca+Rachiu)2x45m,34.4,46.55654205607477,2,12.16,1.353
1013446,Chips Cu Gust Ardei 165gpring,9.99,13.448248472505092,5,3.46,1.346
1013123,Nescafe Dg Espresso Inteso 128g,24.99,33.499547738693465,7,8.51,1.341
1020843,Cioc Cu Lapte Din Stevia 25 G,3.09,4.136360917248255,6,1.05,1.339
1021242,Bomb Cioco&Lapte 68g Maltesers,7.095668016194333,9.49,6,2.39,1.337
1010591,Panzani Paste Tagliatelle 500g,8.134444444444444,10.846428571428572,5,2.71,1.333
1018430,Condiment Bors 70g Maggi,3.59,4.753936696340257,7,1.16,1.324
1010352,Dr.Oetker Crema Prajituri Cu Gust Fructe De Padure 50g,4.35,5.736201117318435,5,1.39,1.319
1034389,Set 2 Toiuri Afinata Si Visinata Bran 2 X 0.45 L,34.9,46.046515151515145,2,11.15,1.319
1021630,Boromir Foi Cremsnit 380 G,12.290000000000001,16.13672897196262,7,3.85,1.313
1016154,Maggi Secretul Gustului Legume75g,3.085,3.994720812182741,7,0.91,1.295
1010348,Alba 700g De Vel Pitar,6.49,8.39,6,1.9,1.293
1010568,"Cafea Capsule Nescafe Dolce Gusto Ristretto Napoli Style, 16 Capsule, 128g",25.794651162790693,33.19,5,7.4,1.287
1010834,Vegeta Baza Mancare Leg.250g,8.59,10.948336980306346,4,2.36,1.275
1013742,Kfc Sos Cu Usturoi,14.49,18.43406779661017,6,3.94,1.272
1011315,Capsule Amhsbld 102g Starbucks,25.99,32.961621621621624,6,6.97,1.268
1014319,Drajeuri Mix Fructe 18gtic Tac,4.05,5.1317327766179535,6,1.08,1.267
1023304,Draj Cu Gust Menta 18g Tic Tac,4.05,5.132330677290836,6,1.08,1.267
1014629,M&M'S Choco 45gr,4.39,5.49,6,1.1,1.251
1017576,"Bomboane M&M' S Cu Arahide, 45g",4.39,5.49,7,1.1,1.251
1010610,Sly Tableta Dietetica De Lapte  25gr,2.09,2.59,6,0.5,1.239
1010570,Bisc.Fara Zahar170g Fibra Gull,11.59,14.13340852130326,6,2.54,1.219
1010932,"Bautura Cafea Arabica Starbucks, Fara Lactoza, 0.22l",11.99,14.559591078066916,4,2.57,1.214
1010522,Amidon Din Cartofi 75g Dr Oetk,2.19,2.655688622754491,4,0.47,1.213
1013501,Dolce Gusto Cafe Au Lait  160g,27.69967741935484,33.50079717457114,7,5.8,1.209
1010948,Jacobs Kronung Solubila 200g,49.79,59.93905759162304,5,10.15,1.204
1010287,Antonio Di Vaio Fusilli 3 Minute 500g,6.089999999999999,7.317269624573379,5,1.23,1.202
